job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
3733047004,Data Engineer (all genders) ,adesso SE,On-site,Full-time,"Java, CI/CD, Scala, Git, GCP, Python, Cloud, Ansible, Kafka, Azure, AWS",German,Bonn,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"Scala, Java, Kafka, git, AWS, Python, Azure, GCP, CI/CD"
3837969018,Werkstudent Data Engineer (w/m/d),sikwel GmbH,On-site,Part-time,"Java, GCP, Python, SQL, Cloud, Azure, R, AWS",German,Oldenburg,Lower Saxony,Germany,Sales & Marketing,Data Engineer,"Java, R, SQL, AWS, Python, Azure, GCP"
4162024518,(Senior) Data Engineer (m/w/d),NVL B.V. & Co. KG,On-site,Full-time,"MS Office, Python, SQL, Snowflake, Excel, Qlik, Julia",German,Hamburg,Hamburg,Germany,Sales & Marketing,Data Engineer,"Julia, MS Office, SQL, Excel/Google Sheets, Python, Qliksense, Snowflake"
4148747806,Data Engineer / BI-Developer (m/w/d),Not Found,On-site,Full-time,"Python, SQL, Qlik, ETL",German,Menden,North Rhine-Westphalia,Germany,Sales & Marketing,Data Engineer,"Python, Qliksense, ETL Tools, SQL"
4148282189,Cloud Data Engineer (all genders),MSG Food ام اس جي الغذائية,Hybrid,Full-time,"Scala, Python, SQL, Cloud, Databricks, Snowflake, Azure, AWS",German,Frankfurt,Hesse,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, AWS, SQL, Python, Snowflake, Azure, GCP"
4169758577,"Data Engineer Google (m/w/d) , remote oder hybrid bundesweit",PCG DACH,Remote,Full-time,"Java, Python, SQL, Google Cloud Platform, Cloud, Kafka, Google Cloud, Terraform, Spark",German,Berlin,Berlin,Germany,AI,Data Engineer,"Terraform, Kafka, Java, SQL, Python, Spark, GCP"
4169612190,Senior Data Engineer (Databricks),CBTW,Hybrid,Full-time,"Scala, SQL, Cloud, Databricks, Terraform, Azure, Apache Spark, Spark, MLOps",English & German,Berlin,Berlin,Germany,Product,Data Engineer,"ML, Terraform, Databricks, Scala, SQL, Spark, Azure, GCP"
4075533802,Senior Data Engineer (w/m/d) ,Capgemini,Hybrid,Full-time,"Java, CI/CD, Scala, Python, SQL, Cloud, Databricks, Snowflake, Spark, PySpark, AWS",German,Munich,Bavaria,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, Java, AWS, SQL, Python, Spark, Snowflake, GCP, CI/CD"
3922811751,Senior Data Engineer (all genders) ,Lufthansa Industry Solutions,Unknown,Unknown,"Azure, Cloud, Generative AI",German,Berlin,Berlin,Germany,Sales & Marketing,Data Engineer,"GCP, Azure"
3961461784,Lead Cloud Data Engineer - Azure / Databricks (all genders) ,adesso SE,On-site,Full-time,"CI/CD, Python, Cloud, Databricks, Azure",German,Nuremberg,Bavaria,Germany,Sales & Marketing,Data Engineer,"Databricks, Python, Azure, GCP, CI/CD"
4145057820,Data Governance Engineer,Canonical,Remote,Full-time,"Python, SQL",English,Düsseldorf,North Rhine-Westphalia,Germany,Product,Data Engineer,"Python, SQL"
4173628177,Digitalization and Data Intelligence Project Engineer,meteocontrol,On-site,Full-time,"ERP, Salesforce, ETL",English,Augsburg,Bavaria,Germany,Sales & Marketing,Data Engineer,"Salesforce, ETL Tools, ERP"
4061562737,Senior Data Engineer (f/m/d),European Energy Exchange AG,Remote,Full-time,"Azure, Cloud, GCP",English,Leipzig,Saxony,Germany,Product,Data Engineer,"GCP, Azure"
4105159523,Senior Data Engineer Advanced Analytics (m/f/d),ALDI DX,Hybrid,Full-time,"Python, SQL, Databricks, ML, Azure, Spark, PySpark, ETL",English,Mülheim an der Ruhr,North Rhine-Westphalia,Germany,Product,Data Analyst,"ML, ETL Tools, Databricks, SQL, Python, Spark, Azure"
4121374989,Geospatial Data Engineer (f/m/d) - Full-time - Remote,credium,Remote,Full-time,"ETL pipelines, Python, Cloud, Azure, PySpark, ETL",English,Unknown,Unknown,Germany,Product,Data Engineer,"Python, ETL Tools, GCP, Azure"
4119542381,Data Engineer (MS Databricks + MS Data Factory),Global Market Solutions - Germany,Hybrid,Full-time,"Python, SQL, Databricks, Azure, Spark, ETL processes, ETL",English,Frankfurt,Hesse,Germany,Product,Data Engineer,"ETL Tools, Databricks, SQL, Python, Spark, Azure"
4175378128,Data Engineer (m/w/d) bei skalierendem MedTech in München,ocumeda,On-site,Full-time,"Python, SQL, Azure",German,Munich,Bavaria,Germany,Sales & Marketing,Data Engineer,"Python, Azure, SQL"
4148723829,Platform & Data Engineer (m|w|d),Jochen Schweizer Gruppe,On-site,Full-time,"Python, SQL, Power BI, ERP, Azure",German,Taufkirchen,Bavaria,Germany,Sales & Marketing,Data Engineer,"Power BI, SQL, Python, Azure, ERP"
4102274647,Sr. Data Engineer (m/f/d),Gini,On-site,Full-time,"Docker, Java, CI/CD, Scala, Python, SQL, Kafka, Julia",English,Munich,Bavaria,Germany,Product,Data Engineer,"Julia, Docker, Scala, Java, Kafka, SQL, Python, CI/CD"
4129365992,IT-Consultant (m/w/d) Data Engineer,Gebr. Heinemann,On-site,Full-time,"CI/CD, Scala, Kubernetes, SAP, Python, SQL, Cloud, Google Cloud, Azure, Terraform, R, ETL",German,Hamburg,Hamburg,Germany,Product,Data Analyst,"ETL Tools, Terraform, Scala, R, Kubernetes, SQL, Python, SAP, Azure, GCP, CI/CD"
4087135067,Cloud Data Engineer (all genders) ,msg,Hybrid,Full-time,"Scala, Python, SQL, Cloud, Databricks, Snowflake, Azure, AWS",German,Karlsruhe,Baden-Württemberg,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, AWS, SQL, Python, Snowflake, Azure, GCP"
4148792787,Manager - Senior Data Engineer (m/f/d),AIONEERS≡EFESO,On-site,Full-time,"MS Office, SAP, GCP, Power BI, Databricks, Large Language Models (LLMs), Excel, PySpark, Qlik, ETL tools, ETL",English,Mannheim,Baden-Württemberg,Germany,Product,Data Engineer,"Power BI, ML, MS Office, ETL Tools, Databricks, Excel/Google Sheets, Qliksense, SAP, GCP"
3582380797,Young Professional Datenbank- und BI-Entwickler (m/w/d) ←,Talentschmiede Unternehmensberatung AG,Hybrid,Full-time,"SQL, Power BI",German,Frankfurt am Main,Hesse,Germany,Sales & Marketing,Other,"Power BI, SQL"
4176816680,Werkstudent AI Solutions Engineer (m/w/d) - 100% remote,Rankingdocs GmbH,Remote,Full-time,"Python, scikit-learn",German,Unknown,Unknown,Germany,Sales & Marketing,Data Engineer,"Scipy/scikit-learn, Python"
